Кількість учасників,Винагорода переможцю ($)
10,5.0
11,5.28
12,5.56
13,5.83
14,6.11
15,6.39
16,6.67
17,6.94
18,7.22
19,7.5
20,7.78
21,8.06
22,8.33
23,8.61
24,8.89
25,9.17
26,9.44
27,9.72
28,10.0
29,10.28
30,10.56
31,10.83
32,11.11
33,11.39
34,11.67
35,11.94
36,12.22
37,12.5
38,12.78
39,13.06
40,13.33
41,13.61
42,13.89
43,14.17
44,14.44
45,14.72
46,15.0
47,15.28
48,15.56
49,15.83
50,16.11
51,16.39
52,16.67
53,16.94
54,17.22
55,17.5
56,17.78
57,18.06
58,18.33
59,18.61
60,18.89
61,19.17
62,19.44
63,19.72
64,20.0
65,20.28
66,20.56
67,20.83
68,21.11
69,21.39
70,21.67
71,21.94
72,22.22
73,22.5
74,22.78
75,23.06
76,23.33
77,23.61
78,23.89
79,24.17
80,24.44
81,24.72
82,25.0
83,25.28
84,25.56
85,25.83
86,26.11
87,26.39
88,26.67
89,26.94
90,27.22
91,27.5
92,27.78
93,28.06
94,28.33
95,28.61
96,28.89
97,29.17
98,29.44
99,29.72
100,30.0
